artist,album,track,uri,genero_principal,generos_secundarios
Luis Alberto Spinetta,Peluson Of Milk,Cielo De Ti,spotify:track:0abN9L7CrgDzqnwsKNruuD,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Indio Solari,"Pajaritos, Bravos Muchachitos",Había una Vez...,spotify:track:3ayHT7okY784fCWMYDbspt,Rock Argentino,"Hard Rock, Art Rock"
Silvio Rodríguez,Tríptico,Yo Te Quiero Libre,spotify:track:09KIprhBd2NYdI17dRqfQP,Nueva Trova Cubana,"Trova, Canción de Autor"
Spinetta Jade,Alma de Diamante,Amenábar,spotify:track:0lJp6t1xChJgEXZL7PyT1S,Indie / Unmapped,Alternative / Various
Mercedes Sosa,¿Será Posible El Sur?,Sera Posible El Sur?,spotify:track:2UH3Wjx8q5BUYnoPjpWcEw,Indie / Unmapped,Alternative / Various
Almendra,El 1er Álbum Más los Singles,El Mundo Entre las Manos,spotify:track:7lZBnOeHkX20EEONXXSwHc,Indie / Unmapped,Alternative / Various
Axel Fiks,Fellinesca,Fellinesca,spotify:track:3JOzh538adYKwnjEf21zeP,Indie Pop,"R&B Urbano, Bedroom Pop"
El Plan De La Mariposa,Devorando Intensidad,La Vida Cura,spotify:track:70H9KzJ3vy5655EHTpdiP4,Rock Latino,"Folk Rock, Progressive Rock"
Santiago Motorizado,La Muerte No Existe y el Amor Tampoco (Original Motion Picture Soundtrack),No Recuerdo Nada,spotify:track:2RaAQQDHW3q82Z2o3L1ZQm,Indie Rock,"Canción de Autor, Bedroom Pop"
Luis Alberto Spinetta,A 18' Del Sol,Viento del Azur,spotify:track:2IW18qqIdoyNWLO6maWnm9,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Patricio Rey y sus Redonditos de Ricota,Momo Sampler,Murga Purga,spotify:track:6Ut6EfDnWBJ9IzITSbnJS9,Rock Argentino,"Post-Punk, Hard Rock"
El Mató a un Policía Motorizado,Día de los Muertos,Mi Próximo Movimiento,spotify:track:4bTrhfTOvC4X3KvFCvnz0I,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Daft Punk,Discovery,Digital Love,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,French House,"Electronic, Synth-Pop, Nu-Disco"
Yerai Cortés,LA GUITARRA FLAMENCA DE YERAI CORTÉS,SONAR POR BULERÍAS,spotify:track:7LEdeh88EpW8GjIs28ZtTu,Indie / Unmapped,Alternative / Various
Tajy,Florece,Alma de Lapacho,spotify:track:1KgUoTmTk4IzHUZ4apWeTU,Indie / Unmapped,Alternative / Various
Adrián Berra,El Funeral,Mirtha,spotify:track:0bZl95lPWg3ugUJrf7L8jA,Canción de Autor,"Indie Folk, Canción Platense"
Ya Cualquier Cosa,Querido Nonis,Querido Nonis,spotify:track:0lzYPJlBxw99QjUYmZlzbE,Indie / Unmapped,Alternative / Various
Suarez,Excursiones,Excursiones,spotify:track:6jlKcy0Rke6iGvAjRW32IU,Indie Rock,"Experimental, Dream Pop, Lo-Fi"
Luca Bocci,Paraíso Corazón,Paraíso Corazón,spotify:track:64ZUglYSEvDoGe28umyByv,Indie Pop,"Psicodelia, Bedroom Pop"
Intoxicados,Otro Día en el Planeta Tierra,Nunca quise,spotify:track:0ZAJ660VP57lLK4U7NlGOy,Indie / Unmapped,Alternative / Various
Arcade Fire,WE,Age of Anxiety II (Rabbit Hole),spotify:track:2z0nkZLzKp1IbZzdQCaD6Z,Indie Rock,"Art Rock, Alternative Rock"
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,Sunday Morning,spotify:track:11607FzqoipskTsXrwEHnJ,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock"
Wolf Alice,Blue Weekend,Smile,spotify:track:0mjOx4zUlL5t4rF1xnrfvi,Alternative Rock,"Shoegaze, Grunge, Indie Rock"
Divididos,40 Dibujos Ahí En El Piso,Haciendo Cosas Raras,spotify:track:30FzfJ9LjPRmPiYgQ9s42h,Rock Argentino,"Hard Rock, Funk Rock, Folklore Rock"
Taylor Swift,Midnights,Anti-Hero,spotify:track:0V3wPSX9ygBnCm8psDIegu,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop"
Chechi de Marcos,Casi Nunca Entiendo Nada,Casi Nunca Entiendo Nada,spotify:track:5DCMmMGHptS0nOmN97kIAV,Indie / Unmapped,Alternative / Various
Primal Scream,Screamadelica,Movin' on Up,spotify:track:67ncFJWaIbJdqZl1bpEppz,Alternative Rock,"Madchester, Gospel Rock, Neo-Psychedelia"
Emmanuel Horvilleur,Amor Loco,Amor Loco,spotify:track:5VeTnCn59BLrrk95uNRiBL,Pop Rock,"Funk Pop, Electro Funk"
Adrián Berra,Caminata,Caminata,spotify:track:10q58ySzhr4lUvqFQHwoUD,Canción de Autor,"Indie Folk, Canción Platense"
Bad Bunny,YHLQMDLG,Si Veo a Tu Mamá,spotify:track:41wtwzCZkXwpnakmwJ239F,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Milo j,La Vida Era Más Corta,Gil,spotify:track:5jgmQkVypORb3enASCxjYs,Indie / Unmapped,Alternative / Various
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,quiero sentirme bien,spotify:track:1xP2jdihnPfoqPNVHHhKnm,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop"
Los Piojos,Máquina de Sangre,Sudestada,spotify:track:08c78f2li3D4xO5b3dovxK,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock"
Pescado Rabioso,Desatormentándonos,Dulce 3 Nocturno,spotify:track:0GxqCJ9d3aNAc6UROiV7os,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo"
Lucas Martí,Basta de Berlín,Basta de Berlín,spotify:track:1q5Fu3XBQBob9AOftpXUG6,Indie / Unmapped,Alternative / Various
Juana Aguirre,anónimo,VOLVIERON,spotify:track:2Ee5LtqTRnhEAPy4lgDVdM,Indie / Unmapped,Alternative / Various
Los Mundos Posibles,Pintura de Guerra,La Ciudad Mas Austral del Mundo,spotify:track:4kRmYRUTKtoFzgUUqTaQoj,Indie Pop,"Dream Pop, Slowcore"
Las Pastillas del Abuelo,Por Colectora,Skalipso,spotify:track:11jKvPxMi4BJYHjhjXMqp2,Indie / Unmapped,Alternative / Various
ROSALÍA,MOTOMAMI,SAKURA,spotify:track:15pRGUlhmCxtewBs42ui1N,Nuevo Flamenco,"Latin Alternative, Bolero Fusion, Experimental Pop"
Rosario Bléfari,Estaciones,Viento Helado,spotify:track:2bWQKPzPvyxKZLvf69gXEK,Indie / Unmapped,Alternative / Various
Astro,Astro,Colombo,spotify:track:09ql22IDmrj21pRQxA3TLg,Indie / Unmapped,Alternative / Various
Compay Segundo,Coleccion,Lágrimas negras,spotify:track:2G6bY2enGuwmluoAAMQ0mj,Indie / Unmapped,Alternative / Various
Arcade Fire,Funeral,Neighborhood #1 (Tunnels),spotify:track:0WZZJ0mDKIkLfL0710ssZt,Indie Rock,"Art Rock, Alternative Rock"
El Plan De La Mariposa,Devorando Intensidad,Semilla del Alma,spotify:track:6ApRn3Kzy8lwTb9W0iPZNK,Rock Latino,"Folk Rock, Progressive Rock"
Gabo Ferro,El veneno de los milagros,Cuando el futuro se fue,spotify:track:2aTwcvD1oRp7WOZgX6H8Ag,Canción de Autor,"Rock de Cámara, Experimental Folk"
Luis Alberto Spinetta,Mondo Di Cromo,Será Que La Canción Llegó Hasta El Sol,spotify:track:2ZT5BLc0XTgbCrJJlgypZ3,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Charly García,Pubis Angelical / Yendo De La Cama Al Living,Superhéroes,spotify:track:6TgWP4HXj9wZyJF3yoghRj,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Edgardo Cardozo,6 de Copas,Vamos a Levantarnos para Ver las Flores del Jardin,spotify:track:7tlsjYo4StffzUdYj5vM10,Indie / Unmapped,Alternative / Various
Charly García,Como Conseguir Chicas,Zocacola,spotify:track:0yAChuncahvimREBFSCIIP,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Los Piojos,Azul,Murguita,spotify:track:5JOLuUMjZ64xpM3mY5ddjI,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock"
Virus,Relax,Dame una Señal,spotify:track:6iLnSogwTQBmWs9l188QII,Synth-Pop,"New Wave, Pop Rock"
Illya Kuryaki & The Valderramas,Ninja Mental - Unplugged MTV,Ninja Mental,spotify:track:4TicjhD6UpAyVkFQibEsoc,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B"
Bob Marley & The Wailers,Natty Dread,So Jah S'eh,spotify:track:7IlIYk9v4YKWqwwXU5IVrn,Reggae,Roots Reggae
León Gieco,De Ushuaia A La Quiaca,Principe Azul,spotify:track:3OYzdtgD8iOEBcMY9pQdXW,Indie / Unmapped,Alternative / Various
Gustavo Pena - El Príncipe,La Fuente de la Juventud,Para ver las estrellas,spotify:track:7tIENPfOYaRDt4KBcBvh4s,Canción de Autor,"Candombe Beat, Folk Uruguayo"
Gabo Ferro,Historias de Pescadores y Ladrones de la Pampa Argentina,Corona de Caranchos,spotify:track:0gck1zTdUw9KKJ7SSavAPG,Canción de Autor,"Rock de Cámara, Experimental Folk"
Las Pelotas,Corderos en la Noche,Bombachitas Rosas,spotify:track:0imN53D8nCDcazLpNWmWTu,Rock Argentino,"Reggae Rock, Post-Punk"
Miranda!,Es Mentira,Romix,spotify:track:6UnPzOY99gntZzoOdbpCC8,Electro-Pop,"Synth-Pop, Dance-Pop"
Duratierra,A los amores - El folklórico Vol. 1,Las flores del jardín,spotify:track:0eMyNTRpmXAPRbi3wsTHyM,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Pearl Jam,No Code,Around the Bend,spotify:track:3eB4YDcvr8Z4WNc1oRK3cS,Grunge,"Alternative Rock, Classic Rock Revival"
Perro Segovia,Awita de Coco,Awita de Coco,spotify:track:0nVUchki4K84IBaz0JT0oz,Indie / Unmapped,Alternative / Various
Cuco,Under The Sun,Under The Sun,spotify:track:3KRiNc9gBfTe15xM1XVGHp,Bedroom Pop,"Indie Pop, Chicano Batman Folk, Chicano R&B"
AURORA,Cure For Me,Cure For Me,spotify:track:7kEva2rxsNMn07fyfZMRRn,Indie / Unmapped,Alternative / Various
PJ Harvey,A Woman A Man Walked By,Black Hearted Love,spotify:track:0TYC36fmbYl54IqTxjdmDa,Indie / Unmapped,Alternative / Various
Air,Talkie Walkie,Surfing on a Rocket,spotify:track:0RFduQOfkrP1jhoV0m8US2,Indie / Unmapped,Alternative / Various
Rihanna,Talk That Talk,We Found Love,spotify:track:0U10zFw4GlBacOy9VDGfGL,Pop / R&B,"Dancehall, Trap R&B, Hip-Hop"
New Order,Republic,Regret - 2015 Remaster,spotify:track:1UVll7jjUlqSGxCZ6uXVaD,Indie / Unmapped,Alternative / Various
Sui Generis,Sinfonía Para Adolescentes,El Día Que Apagaron La Luz,spotify:track:2ls5Nls2vswpcxsC0HlVZr,Rock Argentino,"Folk Rock, Progressive Rock"
Amor Elefante,Oriente,Disimulando,spotify:track:6hvWHYGNxRNnnOcFT7CxOI,Indie / Unmapped,Alternative / Various
Joni Mitchell,Night Ride Home,Night Ride Home,spotify:track:2wqau7jqHc5JY91OhabALP,Folk,"Singer-Songwriter, Vocal Jazz"
El Mató a un Policía Motorizado,El Mató a un Policía Motorizado,Escupíme,spotify:track:6e6aEVwva7CSP55xJRmT2U,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Mac Miller,The Divine Feminine,My Favorite Part,spotify:track:66wkCYWlXzSTQAfnsPBptt,Indie / Unmapped,Alternative / Various
Delinquent Habits,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",Tres Delinquentes - Radio Version,spotify:track:1dstLlsgEFPsaiccsUz2SP,Hip-Hop,"Latin Rap, Chicano Rap, East Coast Hip-Hop"
The Flaming Lips,Transmissions From the Satellite Heart,She Don't Use Jelly,spotify:track:1dJuteDIOkGfDSN7zPkzNv,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental"
El Kuelgue,Cuentito,Roma,spotify:track:3FhmlzGFaBsQgSkXTkOQoF,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock"
Kali Uchis,Por Vida,Melting,spotify:track:2kSb3wYSOV996xA2NSmpck,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop"
LOUTA,ENCHASTRE,AYER TE VI (feat. Zoe Gotusso),spotify:track:7gfyrnHMieXMjIW4n2p5wf,Indie Pop,"Electro-Pop, Performático"
Astro,Le Disc de Astrou,Maestro Distorsión,spotify:track:6qcA3d8yFPRAlp7NBvH0gV,Indie / Unmapped,Alternative / Various
Polo & Pan,Les jolies choses,Les jolies choses,spotify:track:03WMhty0KQ2ppU30LiyKy4,Electro-Tropical,"French Touch, Downtempo, House"
Fito Paez,La La La,Instant-Taneas,spotify:track:5HsE5278DMflp1gtGOGVPU,Rock Argentino,"Pop Rock, Piano Rock"
Milo j,166 (DELUXE) retirada,OLIMPO,spotify:track:6tt6JnKerLnOL0oez9QPqS,Indie / Unmapped,Alternative / Various
Jean Dawson,MENTHOL*,MENTHOL*,spotify:track:2nMTBUdxkdCZWo7n3upy1e,Indie / Unmapped,Alternative / Various
San Pedro Bonfim,Corazón de guagua,Corazón de guagua,spotify:track:7jmuiJQoAi1u7wlCqZg1tY,Indie Folk,Canción Latinoamericana
Los Abuelos De La Nada,1982-1987 - Himnos Del Corazón,No Se Desesperen,spotify:track:2cT2jfl3EVIugpAIunUc1i,Indie / Unmapped,Alternative / Various
Rosario Bléfari,Estaciones,Cartas,spotify:track:0qTO945aPsZxavmpPtGvT3,Indie / Unmapped,Alternative / Various
Rosario Bléfari,Calendario,Reservado,spotify:track:2S8oiPsbMPzuug50Inc8ND,Indie / Unmapped,Alternative / Various
Arcade Fire,The Suburbs,The Suburbs (continued),spotify:track:3twmBbZV0Oss0cjZoHsZa1,Indie Rock,"Art Rock, Alternative Rock"
José González,Local Valley,Valle Local,spotify:track:3r7nfJfoCMg1Z73Z34ITlJ,Indie Folk,"Acoustic, Singer-Songwriter"
Martín Buscaglia,Temporada de Conejos,Oda a Mi Bicicleta,spotify:track:0PsndmcOLZD5glpFADDQAw,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Lorde,Stoned at the Nail Salon,Stoned at the Nail Salon,spotify:track:6oAa31g091sMNe1TKo5LBS,Art Pop,"Indie Folk, Bedroom Pop"
The Smiths,Louder Than Bombs,Unloveable - 2011 Remaster,spotify:track:27r5xwtP8VRqdkeWfaEtQ9,Indie Pop,"Jangle Pop, Post-Punk"
Gauchito Club,El camino de la libertad,Lowcost,spotify:track:6KYXtb8ioMBg7OytzQ3Byb,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
Fonso,Salir del Confort,Salir del Confort,spotify:track:4ObAtoz13OZ8uN2g5ADVyX,Indie / Unmapped,Alternative / Various
Cupido,Préstame Un Sentimiento,El Tiempo Es Oro,spotify:track:1i6rdqcJVC6ziT6OdN64bn,Indie / Unmapped,Alternative / Various
Kali Uchis,Isolation,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",spotify:track:1otG6j1WHNvl9WgXLWkHTo,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop"
A1,Señorita Corazón,Señorita Corazón,spotify:track:7alOhFWVY4eUvsmN2BCkeo,Indie / Unmapped,Alternative / Various
Nick Drake,Bryter Layter,One Of These Things First,spotify:track:0hNVjU6JKydHts0SAjHCno,Indie / Unmapped,Alternative / Various
The Breeders,Last Splash,Cannonball,spotify:track:1KdwPeY1WRWQGHCmRJTveb,Indie / Unmapped,Alternative / Various
Red Hot Chili Peppers,The Uplift Mofo Party Plan,Behind The Sun,spotify:track:2OCr6iAGslZkjuk8VTpAbe,Alternative Rock,"Funk Rock, Hard Rock"
Silvio Rodríguez,Unicornio,Canción Urgente para Nicaragua,spotify:track:3yfnfYDFVoFKpD7H24cV2E,Nueva Trova Cubana,"Trova, Canción de Autor"
Charly García,Música del Alma,Música Del Alma - En Vivo,spotify:track:5lN4LRhNSCnYtfj8R8Guce,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Red Hot Chili Peppers,By the Way,Dosed,spotify:track:1iFIZUVDBCCkWe705FLXto,Alternative Rock,"Funk Rock, Hard Rock"
Arctic Monkeys,AM,I Wanna Be Yours,spotify:track:5XeFesFbtLpXzIVDNQP22n,Indie Rock,"Alternative Rock, Garage Rock"
José González,Local Valley,The Void,spotify:track:4fjDSMnKjKHagyYXJznvD4,Indie Folk,"Acoustic, Singer-Songwriter"
Silvio Rodríguez,Días y Flores,Pequeña Serenata Diurna,spotify:track:5pFNEptemiCskfBVEjsx8j,Nueva Trova Cubana,"Trova, Canción de Autor"
Las Pastillas del Abuelo,Por Colectora,Lo + Fino,spotify:track:2f3dwPRhRN1pt136Cr1hnm,Indie / Unmapped,Alternative / Various
Mac DeMarco,Salad Days,Blue Boy,spotify:track:6drC7tBnx8AiYfTfBmDPVO,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Divididos,Otro Le Travaladna,Agua En Buenos Aires,spotify:track:6CmkZsZfwwecw3lOoev0Kz,Rock Argentino,"Hard Rock, Funk Rock, Folklore Rock"
Mac DeMarco,2,My Kind of Woman,spotify:track:6jgkEbmQ2F2onEqsEhiliL,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Duratierra,"Trinchera, Vol. 1",Trinchera,spotify:track:5w2NAn8sF2wrT2kF5GATBa,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Wach,Sesiones Sodeadas #3 (with La Llorona y su Jardín de Dragones),5 cosas (with La Llorona y su Jardín de Dragones),spotify:track:5dq03Z1P9WCQkn9JxfeVY5,Indie / Unmapped,Alternative / Various
Alanis Morissette,Jagged Little Pill,You Learn - 2015 Remaster,spotify:track:4l7YIni9bAiGwWMqK5wvgV,Indie / Unmapped,Alternative / Various
Kiddie Gang,Morfina,Morfina,spotify:track:2ahUaJKZpeVF2ynKmUE2Ok,Urbano Latino,"Alternative R&B, Trap Pop"
Arctic Monkeys,Leave Before The Lights Come On,Leave Before The Lights Come On,spotify:track:6r17TK9vMMuwTTL2p7O3Ac,Indie Rock,"Alternative Rock, Garage Rock"
El Kuelgue,Hola Precioso,Peluquita,spotify:track:4lojQcFTooBnC2Ya5lF6d8,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock"
El Gran Combo De Puerto Rico,30th Anniversary,Un Verano En New York,spotify:track:7dXvzNNMjmcSWZxQQBagyf,Indie / Unmapped,Alternative / Various
Invisible,Los Simples,Elementales Leches,spotify:track:2EIqe5WK2NImx3VntKua1N,Indie / Unmapped,Alternative / Various
Intoxicados,Buen Dia,El Rey,spotify:track:7pD3i9qZggLq6aS29NnEj3,Indie / Unmapped,Alternative / Various
The Strokes,Future Present Past,Threat of Joy,spotify:track:37ZgsOy8t4vMnGtMExr6ah,Indie / Unmapped,Alternative / Various
Gustavo Pena - El Príncipe,Archivo 1,Canto de aquí para allá,spotify:track:7kJR5E8sEM4FzNRcESSakH,Canción de Autor,"Candombe Beat, Folk Uruguayo"
George Harrison,All Things Must Pass,Beware of Darkness - 2014 Remaster,spotify:track:5cMxqr10aoaP0B1PY8yYTc,Indie / Unmapped,Alternative / Various
10cc,The Original Soundtrack,I'm Not In Love,spotify:track:5HQEmiV2lKnSO6qa2fsR7x,Indie / Unmapped,Alternative / Various
Lucy Patané,HIJA DE RUTA,LA MALDAD,spotify:track:3ogsUm5KjwL9mAug4fssvO,Rock Alternativo,"Experimental Folk, Post-Punk"
Turf,Para Mi para Vos,Quiero Seguir Asi,spotify:track:2j3juCBYkKEuKEaO8SmhUN,Pop Rock,"Britpop Argentino, New Wave"
Fleetwood Mac,Rumours,Doesn't Anything Last - Acoustic Duet; 2013 Remaster,spotify:track:6sarQ376udcoZe6jBdfT8O,Indie / Unmapped,Alternative / Various
MGMT,Oracular Spectacular,Time to Pretend,spotify:track:4iG2gAwKXsOcijVaVXzRPW,Indie / Unmapped,Alternative / Various
Pink Floyd,The Dark Side of the Moon,Breathe (In the Air),spotify:track:2ctvdKmETyOzPb2GiJJT53,Progressive Rock,"Psychedelic Rock, Art Rock"
Chico Buarque,Chico Buarque,Apesar De Você,spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,MPB (Música Popular Brasileña),"Bossa Nova, Samba"
Mac Miller,Circles,Good News,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,Indie / Unmapped,Alternative / Various
Eddie Vedder,"Eat, Pray, Love",The Long Road,spotify:track:4qCbMMMuEB56kHd4zPE6GD,Acoustic Folk,"Singer-Songwriter, Alternative Rock"
Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),spotify:track:0U0p8weaMIbIFMJ0CPlvHV,Indie Rock,"Art Rock, Alternative Rock"
Devendra Banhart,Cripple Crow,Santa Maria De Feira,spotify:track:6Yf2HCrWLUo8sgm7KuQagg,Freak Folk,"Indie Folk, Psych Folk"
Arcade Fire,Unconditional I (Lookout Kid),Unconditional I (Lookout Kid),spotify:track:0Zd9Nub5lwmzSBoWaVOWrP,Indie Rock,"Art Rock, Alternative Rock"
Martín Buscaglia,Temporada de Conejos,Altas Horas,spotify:track:6pbEMb1Nl9hy1oAGmvVyd8,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Lucio Mantel,Los Ancestros,Buscando al sol,spotify:track:6fHGtk81tOfdF2z4sleYS5,Indie / Unmapped,Alternative / Various
Luca Prodan,Time Fate Love (Remastered 2019),Divided by Joy,spotify:track:2Vlyv0g19THugShVLFd6GK,Indie / Unmapped,Alternative / Various
Bandalos Chinos,Paranoia Pop,Los Puntos,spotify:track:7woYim3y8Xj5q2Oj2j5pyt,Indie / Unmapped,Alternative / Various
